session_id,session_start,user_id,probability,interpretation
S00300,2026-09-12 13:16:00,ntinda,0.88336092541712,High Risk
CASE-KYC-01,2026-09-11 18:33:00,mhaingura,0.88,High Risk
S00386,2026-09-12 00:46:00,shapaka,0.8795395076731712,High Risk
S00427,2026-09-12 23:21:00,sihuhua,0.8730213833765322,High Risk
CASE-VPN-01,2026-09-11 18:18:00,mhaingura,0.87,High Risk
CASE-EXFIL-01,2026-09-12 00:35:00,mhaingura,0.87,High Risk
CASE-EXFIL-02,2026-09-12 00:43:00,mhaingura,0.86,High Risk
S00232,2026-09-13 21:58:00,nambala,0.8505914025489432,High Risk
S00019,2026-09-08 17:59:00,sihuhua,0.8373712790724991,High Risk
S00139,2026-09-14 00:41:00,kndjavera,0.8238420438404127,High Risk
S00015,2026-09-12 01:12:00,haufiku,0.8154010684237192,High Risk
S00330,2026-09-07 06:33:00,katjiuongua,0.8151731742657021,High Risk
S00414,2026-09-12 13:42:00,nambala,0.8063394493311342,High Risk
S00195,2026-09-12 11:39:00,mhaingura,0.786470600564114,High Risk
S00223,2026-09-10 01:37:00,haufiku,0.7785895393094335,High Risk
